timestamp,startfloor,endfloor
2002-12-30T00:00:32.000370,9,1
2002-12-30T00:02:20.001620,0,3
2002-12-30T00:03:25.002373,1,7
2002-12-30T00:04:53.003391,5,4
2002-12-30T00:05:07.003553,4,1
2002-12-30T00:05:57.004132,2,2
2002-12-30T00:06:12.004306,7,5
2002-12-30T00:08:01.005567,2,9
2002-12-30T00:09:28.006574,1,6
2002-12-30T00:11:43.008137,1,9
2002-12-30T00:11:53.008252,4,8
2002-12-30T00:13:29.009364,3,0
2002-12-30T00:14:01.009734,2,1
2002-12-30T00:14:18.009931,5,9
2002-12-30T00:15:44.010926,6,4
2002-12-30T00:17:15.011979,5,8
2002-12-30T00:17:31.012164,6,8
2002-12-30T00:17:46.012338,3,1
2002-12-30T00:18:13.012651,0,6
2002-12-30T00:18:40.012963,1,1
2002-12-30T00:19:09.013299,3,2
2002-12-30T00:21:45.015104,2,5
2002-12-30T00:21:55.015220,8,6
2002-12-30T00:22:15.015452,7,2
2002-12-30T00:23:47.016516,2,8
2002-12-30T00:23:59.016655,9,4
2002-12-30T00:25:41.017836,5,3
2002-12-30T00:26:14.018218,3,1
2002-12-30T00:26:24.018334,1,6
2002-12-30T00:28:10.019560,9,9
2002-12-30T00:28:18.019653,2,1
2002-12-30T00:29:22.020394,6,7
2002-12-30T00:29:23.020405,5,7
2002-12-30T00:30:09.020938,8,1
2002-12-30T00:30:25.021123,2,0
2002-12-30T00:31:09.021632,9,1
2002-12-30T00:31:24.021806,4,0
2002-12-30T00:33:14.023079,7,8
2002-12-30T00:34:11.023739,2,4
2002-12-30T00:36:04.025047,6,3
2002-12-30T00:36:37.025429,3,4
2002-12-30T00:37:10.025810,3,4
2002-12-30T00:37:59.026378,7,6
2002-12-30T00:40:26.028079,1,4
2002-12-30T00:41:32.028843,8,5
2002-12-30T00:43:15.030035,8,0
2002-12-30T00:44:39.031007,2,4
2002-12-30T00:46:50.032524,9,6
2002-12-30T00:49:49.034595,2,6
2002-12-30T00:50:47.035267,6,0
2002-12-30T00:53:15.036980,6,3
2002-12-30T00:54:35.037906,5,0
2002-12-30T00:54:50.038079,1,9
2002-12-30T00:54:51.038091,8,6
2002-12-30T00:58:54.040903,4,8
2002-12-30T01:00:48.042223,1,4
2002-12-30T01:02:35.043461,0,9
2002-12-30T01:03:42.044237,9,0
2002-12-30T01:04:39.044896,6,9
2002-12-30T01:04:44.044954,2,9
2002-12-30T01:04:51.045035,7,0
2002-12-30T01:05:53.045753,1,7
2002-12-30T01:07:47.047072,0,1
2002-12-30T01:07:49.047095,1,4
2002-12-30T01:08:25.047512,2,4
2002-12-30T01:08:57.047882,2,1
2002-12-30T01:09:18.048126,2,8
2002-12-30T01:09:25.048207,1,3
2002-12-30T01:10:40.049075,6,9
2002-12-30T01:12:21.050244,2,2
2002-12-30T01:13:51.051285,3,9
2002-12-30T01:19:20.055093,4,2
2002-12-30T01:22:25.057234,6,6
2002-12-30T01:23:01.057651,2,6
2002-12-30T01:26:15.059897,6,2
2002-12-30T01:27:48.060973,9,4
2002-12-30T01:28:01.061123,3,0
2002-12-30T01:28:50.061691,0,3
2002-12-30T01:29:46.062339,5,6
2002-12-30T01:30:36.062917,3,5
2002-12-30T01:30:58.063172,0,6
2002-12-30T01:31:47.063739,7,7
2002-12-30T01:32:12.064029,4,1
2002-12-30T01:36:28.066992,6,8
2002-12-30T01:36:34.067061,7,0
2002-12-30T01:36:57.067327,3,6
2002-12-30T01:39:43.069248,2,4
2002-12-30T01:42:06.070904,2,5
2002-12-30T01:43:18.071737,2,7
2002-12-30T01:44:09.072327,3,9
2002-12-30T01:44:54.072848,4,8
2002-12-30T01:46:02.073635,0,0
2002-12-30T01:47:27.074619,1,7
2002-12-30T01:48:11.075128,5,3
2002-12-30T01:48:22.075256,9,9
2002-12-30T01:54:21.079411,1,7
2002-12-30T01:55:57.080522,3,4
2002-12-30T01:58:08.082038,5,3
2002-12-30T01:59:43.083138,9,1
2002-12-30T02:00:00.083334,5,7
2002-12-30T02:02:45.085244,8,8
2002-12-30T02:03:08.085510,2,4
2002-12-30T02:03:09.085522,1,4
2002-12-30T02:06:08.087594,4,5
2002-12-30T02:06:31.087860,7,4
2002-12-30T02:06:43.087999,9,0
2002-12-30T02:06:45.088022,6,7
2002-12-30T02:09:24.089862,1,7
2002-12-30T02:12:07.091749,0,5
2002-12-30T02:12:18.091876,2,5
