timestamp,startfloor,endfloor
2022-01-03 05:20:08,2,5
2022-01-02 19:54:08,7,3
2022-01-04 09:25:29,5,10
2022-01-02 00:03:31,1,7
2022-01-05 06:17:12,7,3
2022-01-02 11:31:11,7,2
2022-01-05 17:18:10,10,7
2022-01-03 21:59:03,4,6
2022-01-03 14:41:36,9,1
2022-01-06 03:13:31,10,2
2022-01-01 17:27:03,10,1
2022-01-01 20:36:18,5,9
2022-01-02 00:51:26,10,9
2022-01-06 14:29:42,7,2
2022-01-05 21:05:22,4,9
2022-01-05 17:44:23,3,1
2022-01-05 00:31:17,8,2
2022-01-07 08:32:30,5,1
2022-01-04 16:48:38,2,7
2022-01-02 13:10:49,10,3
2022-01-01 12:18:12,9,10
2022-01-06 02:44:40,5,1
2022-01-03 22:02:50,1,8
2022-01-05 03:25:58,6,3
2022-01-03 06:16:19,3,5
2022-01-03 20:44:20,7,6
2022-01-05 08:38:58,1,3
2022-01-06 18:39:54,9,5
2022-01-05 05:42:55,2,1
2022-01-04 21:13:58,9,6
2022-01-04 19:30:08,2,3
2022-01-03 18:22:53,9,1
2022-01-03 23:36:39,8,3
2022-01-06 04:39:08,6,2
2022-01-03 07:15:40,1,5
2022-01-07 16:31:16,5,8
2022-01-02 06:24:02,1,7
2022-01-07 10:08:25,7,3
2022-01-05 21:30:42,9,7
2022-01-07 06:08:34,2,1
2022-01-07 06:35:15,10,6
2022-01-04 12:08:16,1,10
2022-01-05 20:32:57,5,10
2022-01-05 10:25:42,5,7
2022-01-04 03:32:53,3,4
2022-01-04 14:26:39,8,10
2022-01-06 21:29:12,8,3
2022-01-07 12:31:12,4,10
2022-01-05 10:03:00,6,5
2022-01-01 21:27:10,7,6
2022-01-05 13:15:25,5,3
2022-01-02 16:40:40,5,8
2022-01-07 17:49:10,9,5
2022-01-07 21:05:07,4,8
2022-01-03 06:53:18,2,9
2022-01-03 08:06:56,9,3
2022-01-04 15:23:11,4,6
2022-01-02 14:29:05,3,2
2022-01-02 02:32:52,3,1
2022-01-05 23:08:28,4,8
2022-01-01 17:21:58,5,8
2022-01-07 08:37:36,9,1
2022-01-03 20:57:16,7,2
2022-01-07 12:34:30,9,6
2022-01-04 01:48:49,8,5
2022-01-07 00:08:13,10,6
2022-01-01 17:37:53,7,4
2022-01-07 21:13:39,9,8
2022-01-06 07:23:43,2,8
2022-01-07 18:19:05,3,4
2022-01-04 01:13:28,6,10
2022-01-02 10:28:11,1,5
2022-01-07 13:04:46,7,9
2022-01-06 18:35:21,10,6
2022-01-02 10:37:39,6,9
2022-01-06 11:43:59,8,5
2022-01-06 09:28:47,2,8
2022-01-04 13:56:08,7,3
2022-01-07 09:22:00,4,9
2022-01-02 00:42:22,2,9
2022-01-03 23:21:30,8,6
2022-01-07 02:07:53,10,3
2022-01-03 14:47:59,6,1
2022-01-04 00:28:09,9,4
2022-01-04 16:03:17,9,6
2022-01-06 23:59:19,1,10
2022-01-02 00:29:42,5,6
2022-01-02 14:59:13,5,6
2022-01-03 04:32:16,2,6
2022-01-02 04:28:59,6,10
2022-01-05 15:45:49,7,3
2022-01-02 07:39:27,5,8
2022-01-02 21:41:07,6,7
2022-01-03 02:18:22,3,10
2022-01-05 04:54:40,6,7
2022-01-05 16:28:38,6,1
2022-01-01 08:17:06,8,6
2022-01-01 14:27:16,10,4
2022-01-03 08:37:14,7,4
2022-01-02 21:53:14,9,8
2022-01-02 20:58:24,10,6
2022-01-07 17:28:56,9,1
2022-01-03 04:48:07,4,5
2022-01-06 09:19:56,6,10
2022-01-07 02:02:41,6,10
2022-01-07 00:09:43,5,6
2022-01-01 23:06:54,8,6
2022-01-04 04:48:01,5,8
